proposal_id,system,filename
FA0083,Sakana v1,FA0083.pdf
FA0087,Sakana v1,FA0087.pdf
FA0105,Sakana v1,FA0105.pdf
FA0112,Sakana v1,FA0112.pdf
FA0114,Sakana v1,FA0114.pdf
FA0115,Sakana v1,FA0115.pdf
FA0168,Sakana v1,FA0168.pdf
FA0184,Sakana v1,FA0184.pdf
FA0188,Sakana v1,FA0188.pdf
FA0193,Sakana v1,FA0193.pdf
FA0194,Sakana v1,FA0194.pdf
FA0197,Sakana v1,FA0197.pdf
FA0209,Sakana v1,FA0209.pdf
FA0221,Sakana v1,FA0221.pdf
FA0233,Sakana v1,FA0233.pdf
FA0385,Sakana v1,FA0385.pdf
FA0401,Sakana v1,FA0401.pdf
FA0408,Sakana v1,FA0408.pdf
FA0083,Sakana v2,FA0083.pdf
FA0087,Sakana v2,FA0087.pdf
FA0105,Sakana v2,FA0105.pdf
FA0112,Sakana v2,FA0112.pdf
FA0114,Sakana v2,FA0114.pdf
FA0115,Sakana v2,FA0115.pdf
FA0168,Sakana v2,FA0168.pdf
FA0184,Sakana v2,FA0184.pdf
FA0188,Sakana v2,FA0188.pdf
FA0193,Sakana v2,FA0193.pdf
FA0194,Sakana v2,FA0194.pdf
FA0197,Sakana v2,FA0197.pdf
FA0209,Sakana v2,FA0209.pdf
FA0221,Sakana v2,FA0221.pdf
FA0233,Sakana v2,FA0233.pdf
FA0385,Sakana v2,FA0385.pdf
FA0401,Sakana v2,FA0401.pdf
FA0408,Sakana v2,FA0408.pdf
FA0083,Data-to-Paper,FA0083.pdf
FA0087,Data-to-Paper,FA0087.pdf
FA0105,Data-to-Paper,FA0105.pdf
FA0112,Data-to-Paper,FA0112.pdf
FA0114,Data-to-Paper,FA0114.pdf
FA0115,Data-to-Paper,FA0115.pdf
FA0168,Data-to-Paper,FA0168.pdf
FA0184,Data-to-Paper,FA0184.pdf
FA0188,Data-to-Paper,FA0188.pdf
FA0193,Data-to-Paper,FA0193.pdf
FA0194,Data-to-Paper,FA0194.pdf
FA0197,Data-to-Paper,FA0197.pdf
FA0209,Data-to-Paper,FA0209.pdf
FA0221,Data-to-Paper,FA0221.pdf
FA0233,Data-to-Paper,FA0233.pdf
FA0385,Data-to-Paper,FA0385.pdf
FA0401,Data-to-Paper,FA0401.pdf
FA0408,Data-to-Paper,FA0408.pdf
FA0083,Cycle Researcher,FA0083.pdf
FA0087,Cycle Researcher,FA0087.pdf
FA0105,Cycle Researcher,FA0105.pdf
FA0112,Cycle Researcher,FA0112.pdf
FA0114,Cycle Researcher,FA0114.pdf
FA0115,Cycle Researcher,FA0115.pdf
FA0168,Cycle Researcher,FA0168.pdf
FA0184,Cycle Researcher,FA0184.pdf
FA0188,Cycle Researcher,FA0188.pdf
FA0193,Cycle Researcher,FA0193.pdf
FA0194,Cycle Researcher,FA0194.pdf
FA0197,Cycle Researcher,FA0197.pdf
FA0209,Cycle Researcher,FA0209.pdf
FA0221,Cycle Researcher,FA0221.pdf
FA0233,Cycle Researcher,FA0233.pdf
FA0385,Cycle Researcher,FA0385.pdf
FA0401,Cycle Researcher,FA0401.pdf
FA0408,Cycle Researcher,FA0408.pdf
FA0083,FARS,FA0083.pdf
FA0087,FARS,FA0087.pdf
FA0105,FARS,FA0105.pdf
FA0112,FARS,FA0112.pdf
FA0114,FARS,FA0114.pdf
FA0115,FARS,FA0115.pdf
FA0168,FARS,FA0168.pdf
FA0184,FARS,FA0184.pdf
FA0188,FARS,FA0188.pdf
FA0193,FARS,FA0193.pdf
FA0194,FARS,FA0194.pdf
FA0197,FARS,FA0197.pdf
FA0209,FARS,FA0209.pdf
FA0221,FARS,FA0221.pdf
FA0233,FARS,FA0233.pdf
FA0385,FARS,FA0385.pdf
FA0401,FARS,FA0401.pdf
FA0408,FARS,FA0408.pdf
